0	15	8	3.000000
1	4	2	2.000000
2	0	11	6.000000
3	5	13	6.000000
4	15	6	3.000000
5	9	17	5.000000
6	11	1	3.000000
7	18	8	9.000000
8	16	3	3.000000
9	12	3	8.000000
10	2	14	2.000000
11	10	15	6.000000
12	17	7	9.000000
13	12	0	5.000000
14	19	2	9.000000
15	15	5	10.000000
16	14	13	2.000000
17	11	17	1.000000
18	0	8	2.000000
19	5	6	2.000000
20	15	0	6.000000
21	4	19	4.000000
22	4	6	7.000000
23	11	5	1.000000
24	0	2	9.000000
25	13	12	3.000000
26	10	2	9.000000
27	1	0	1.000000
28	15	14	3.000000
29	2	8	10.000000
