0	0	1	3.000000
1	13	14	3.000000
2	1	5	4.000000
3	10	6	9.000000
4	18	17	1.000000
5	17	2	4.000000
6	15	17	6.000000
7	8	16	10.000000
8	14	0	9.000000
9	12	11	2.000000
10	4	11	10.000000
11	19	8	8.000000
12	19	6	7.000000
13	18	6	2.000000
14	7	18	5.000000
15	3	17	4.000000
16	10	9	7.000000
17	19	4	1.000000
18	1	10	8.000000
19	10	14	2.000000
20	16	14	4.000000
21	18	1	7.000000
22	19	18	4.000000
23	3	7	9.000000
24	6	11	6.000000
25	11	8	10.000000
26	6	15	5.000000
27	8	2	9.000000
28	0	6	1.000000
29	1	8	9.000000
