0	5	26	2.000000
1	2	10	9.000000
2	26	21	10.000000
3	2	20	6.000000
4	22	7	1.000000
5	12	9	5.000000
6	16	15	4.000000
7	25	5	9.000000
8	6	22	6.000000
9	12	0	3.000000
10	4	13	3.000000
11	12	31	8.000000
12	9	27	3.000000
13	29	16	8.000000
14	13	7	3.000000
15	0	14	6.000000
16	14	11	9.000000
17	29	17	1.000000
18	19	24	2.000000
19	11	8	3.000000
20	1	30	8.000000
21	18	29	7.000000
22	23	3	1.000000
23	19	5	7.000000
24	25	28	2.000000
25	28	30	10.000000
26	1	0	9.000000
27	23	12	3.000000
28	16	20	6.000000
29	0	6	1.000000
30	16	6	2.000000
