0	125	52	2.000000
1	150	41	2.000000
2	26	50	7.000000
3	53	180	10.000000
4	55	145	1.000000
5	43	66	1.000000
6	81	115	5.000000
7	7	79	9.000000
8	39	94	2.000000
9	127	198	3.000000
10	36	63	5.000000
11	71	143	10.000000
12	60	173	6.000000
13	99	188	2.000000
14	121	147	6.000000
15	52	20	6.000000
16	111	73	1.000000
17	100	143	4.000000
18	82	151	9.000000
19	31	91	10.000000
20	106	10	7.000000
21	47	165	3.000000
22	67	65	3.000000
23	166	191	1.000000
24	95	137	2.000000
25	9	154	7.000000
26	6	16	10.000000
27	124	193	4.000000
28	46	98	4.000000
29	160	15	2.000000
30	166	89	10.000000
31	111	23	10.000000
32	90	57	10.000000
33	8	152	2.000000
34	80	78	10.000000
35	101	64	4.000000
36	140	144	7.000000
37	29	51	8.000000
38	164	28	7.000000
39	119	41	10.000000
40	29	153	9.000000
41	66	183	4.000000
42	113	181	9.000000
43	107	77	10.000000
44	33	18	6.000000
45	103	81	9.000000
46	37	76	9.000000
47	42	62	2.000000
48	170	70	8.000000
49	97	172	4.000000
50	81	117	7.000000
51	72	120	3.000000
52	99	175	8.000000
53	72	196	10.000000
54	135	53	7.000000
55	154	61	1.000000
56	169	8	3.000000
57	34	190	7.000000
58	59	95	7.000000
59	22	13	10.000000
60	138	1	8.000000
61	39	169	2.000000
62	82	38	10.000000
63	174	144	3.000000
64	106	5	2.000000
65	138	118	3.000000
66	73	54	7.000000
67	85	157	4.000000
68	88	0	7.000000
69	129	74	10.000000
70	74	105	6.000000
71	88	25	7.000000
72	118	3	8.000000
73	35	75	3.000000
74	22	122	10.000000
75	84	191	7.000000
76	107	194	1.000000
77	61	49	2.000000
78	96	176	5.000000
79	97	16	10.000000
80	149	156	7.000000
81	74	32	8.000000
82	46	157	7.000000
83	67	178	3.000000
84	64	155	2.000000
85	31	103	9.000000
86	33	171	9.000000
87	189	86	5.000000
88	133	134	2.000000
89	86	157	5.000000
90	142	165	5.000000
91	146	166	4.000000
92	181	37	1.000000
93	135	63	3.000000
94	73	162	6.000000
95	68	199	7.000000
96	97	133	4.000000
97	14	165	4.000000
98	159	123	6.000000
99	107	156	9.000000
100	136	48	5.000000
101	117	119	7.000000
102	130	114	9.000000
103	48	197	4.000000
104	30	112	4.000000
105	26	129	10.000000
106	161	55	2.000000
107	57	185	3.000000
108	131	174	7.000000
109	121	184	2.000000
110	136	77	6.000000
111	163	101	4.000000
112	28	12	2.000000
113	157	192	3.000000
114	132	70	6.000000
115	187	75	7.000000
116	102	40	8.000000
117	123	62	6.000000
118	27	10	8.000000
119	131	2	5.000000
120	180	42	6.000000
121	128	47	6.000000
122	3	12	9.000000
123	78	83	4.000000
124	21	192	5.000000
125	22	24	6.000000
126	69	40	7.000000
127	56	35	1.000000
128	144	45	3.000000
129	198	62	4.000000
130	133	160	10.000000
131	30	46	6.000000
132	70	50	10.000000
133	109	69	2.000000
134	141	154	9.000000
135	120	65	3.000000
136	112	101	6.000000
137	182	168	1.000000
138	39	90	1.000000
139	188	177	7.000000
140	190	89	4.000000
141	116	19	9.000000
142	29	7	10.000000
143	102	83	7.000000
144	186	87	4.000000
145	108	114	5.000000
146	14	98	8.000000
147	96	11	1.000000
148	158	15	7.000000
149	193	110	8.000000
150	85	148	6.000000
